Country,Year,Unemployment.x,GDP,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,Density,Urbanization,Population,log_GDP,Unemployment,Unemployment_lag
Bolivia,2000,2.373,8397855937,695.535,615.66,668.55,619.896,631.152,668.921,640.94,683.625,712.146,715.525,723.431,776.711,803.547,793.646,805.183,886.368,956.965,1006.102,1057.72,1010.58,994.617,949.383,904.851,908.203,968.545,1037.176,1226.845,1383.894,1729.369,1769.441,1972.684,2368.523,2635.933,2938.421,3114.966,3069.319,3110.874,3388.523,3588.089,3591.403,3172.556,3449.384,3705.266,3857.843,4045.386,4232.194,4423.803,4628.612,4842.902,11,8033035,11513100,22.85124226461974,2.373,2.373
Brazil,2000,10.53,655448000000,1203.615,1353.019,1415.339,1110.691,1082.233,1682.789,1913.312,2042.86,2240.525,3021.975,3108.808,2717.508,2561.124,2828.455,3547.02,4923.871,5281.678,5399.969,5199.453,3567.631,3864.917,3256.18,2926.341,3165.195,3750.129,4938.537,6066.958,7572.61,9096.943,8851.059,11578.7,13631.421,12782.844,12752.255,12601.257,9182.996,9117.56,10419.576,9629.603,9364.237,7344.529,8165.637,9455.328,10412.997,11029.175,11441.81,11933.778,12617.438,13230.077,25,183241641,212559417,27.208584808246798,10.53,10.53
Barbados,2000,9.35,3059500000,4036.509,4427.056,4611.693,4882.788,5308.313,5539.558,6062.784,6653.718,7052.007,7776.714,7772.174,7777.866,7464.866,7886.782,8194.382,8414.115,8938.565,9412.367,10573.109,11039.097,11337.027,11284.369,11442.562,11788.654,12612.206,13939.669,15334.007,16925.584,17254.317,16036.377,16203.334,16599.014,16371.966,16556.11,16572.331,16623.566,16957.431,17435.312,17795.112,18540.379,16227.217,16782.075,19647.869,21442.447,22888.902,24175.489,25404.737,26599.905,27765.927,668,89431,287025,21.84151734086687,9.35,9.35
Brunei Darussalam,2000,5.597,6001280944,0,0,0,0,0,21770.731,14544.374,16561.019,15281.058,16683.224,19428.846,20171.327,20679.723,20430.168,21350.36,24895.613,24460.83,23344.446,17294.914,18237.075,20473.284,18646.04,19037.814,20975.54,24759.511,29459.699,34869.24,36678.272,42529.703,31287.341,35437.251,47092.346,47776.368,44865.244,41947.487,31353.779,27321.997,28443.168,31074.01,29865.278,27174.73,31781.303,37850.978,34383.527,35813.101,36841.59,38049.915,39627.06,41177.079,NA,NA,NA,22.515238774055245,5.597,5.597
Bhutan,2000,1.625,424448931,301.912,317.384,325.479,343.169,346.705,349.039,382.259,447.284,496.565,483.64,514.626,446.274,442.838,470.84,484.426,569.737,594.213,654.919,701.797,716.174,758.308,767.831,813.421,950.504,1059.205,1215.288,1278.66,1548.106,1936.306,1797.535,2097.54,2511.435,2592.37,2609.758,2546.857,2767.781,2857.443,3137.633,3413.308,3322.527,3247.926,3245.411,3491.984,3500.486,3691.885,3954.424,4261.611,4479.311,4729.404,20,317538,727145,19.86630225259166,1.625,1.625
Botswana,2000,15.88,5788329609,1219.569,1057.067,1075.452,1145.987,1097.548,985.391,1288.644,1947.606,2439.381,2628.077,2797.478,2718.95,2729.751,2674.397,2802.477,3084.8,3087.859,3071.641,2886.26,3188.541,3290.347,3099.104,3005.538,4088.461,4743.633,5194.705,5142.914,5371.808,5345.848,4938.25,6041.732,7080.778,6392.987,6436.603,6844.033,5869.738,6411.552,6705.341,6947.818,6679.188,5863.182,7238.796,7737.655,7758.371,8067.193,8499.7,9025.803,9512.501,10073.29,4,1616550,2346179,22.479109591053458,15.88,15.88
Central African Republic,2000,5.297,916777282.7,313.369,316.495,298.747,279.719,265.441,340.227,431.342,465.181,490.939,474.879,539.656,502.896,489.786,418.922,268.106,340.988,298.443,285.804,296.103,290.99,238.505,242.794,260.865,310.302,336.409,356.688,381.315,427.313,485.807,482.648,492.078,551.028,566.199,380.304,424.67,377.476,402.053,450.744,488.553,480.145,494.489,525.164,490.94,539.24,572.9,600.386,626.694,648.491,672.103,8,1982064,4745185,20.63637512471286,5.297,5.297
Canada,2000,6.83,744773000000,11281.422,12396.666,12543.938,13493.198,13947.358,14185.922,14539.75,16408.139,19041.182,20842.455,21572.137,21885.57,20984.778,20210.452,20024.581,20706.725,21325.69,21930.485,21046.556,22340.553,24296.721,23859.714,24279.186,28338.745,32176.593,36439.62,40558.897,44716.985,46773.837,40990.625,47627.345,52285.937,52744.004,52708.61,51020.843,43626.47,42382.635,45191.993,46625.859,46449.962,43383.713,52387.812,55036.52,53246.981,55527.987,57899.394,59838.169,61739.89,63759.102,4,30628482,36991981,27.33634531090953,6.83,6.83
Central Europe and the Baltics,2000,12.44151312,428593000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.783773587608,12.44151312,12.44151312
Switzerland,2000,2.66,279209000000,19426.638,17699.844,18027.725,17865.396,17019.366,17187.864,24529.567,30520.621,32794.286,31440.365,39842.782,39811.005,40883.18,39375.507,43226.544,50292.099,48170.561,41628.731,42724.371,41759.218,38976.036,39831.997,42658.5,49520.417,54772.692,56378.928,59217.075,65370.159,74665.575,71898.31,76822.061,90938.465,86283.22,87878.542,89279.52,84230.676,82577.038,82584.384,85546.669,84474.469,86109.53,93700.472,93657.234,102865.569,110246.107,114725.257,120285.438,124458.138,130316.085,219,6332428,8574832,26.355226442272112,2.66,2.66
Channel Islands,2000,5.896,6439703435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.58574832553648,5.896,5.896
Chile,2000,10.49,78249883996,2598.159,3025.972,2219.964,1774.676,1698.949,1434.434,1515.068,1756.21,2035.335,2305.635,2521.569,2849.743,3392.088,3572.096,4058.557,5153.88,5387.405,5799.339,5475.546,4985.768,5099.922,4608.057,4479.771,4824.87,6183.906,7558.009,9410.392,10447.116,10759.738,10176.733,12723.064,14560.249,15316.01,15740.391,14582.85,13494.489,13722.878,15003.77,15755.003,14567.988,13067.742,16092.149,15166.472,17253.752,17647.269,18433.623,19210.04,19960.757,20773.528,26,16610135,18952038,25.08317318388634,10.49,10.49
China,2000,3.26,1211330000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,842933962,1397715000,27.822740045441968,3.26,3.26
Cote d'Ivoire,2000,4.602,16577533892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.531314235663057,4.602,4.602
Cameroon,2000,7.591,10566579295,1004.846,1106.193,1031.862,1012.33,1041.933,1059.933,1344.534,1514.218,1493.9,1292.834,1255.123,1357.676,1207.539,1222.984,808.04,745.55,808.211,794.939,772.304,765.544,660.382,687.404,756.14,949.02,1089.418,1101.546,1147.497,1277.667,1439.39,1409.942,1353.407,1464.888,1404.412,1527.773,1604.627,1382.65,1412.866,1468.929,1585.96,1533.161,1539.354,1667.318,1587.953,1721.954,1807.368,1891.033,1957.996,2017.335,2081.433,56,14741256,25876380,23.080961960515364,7.591,7.591
